id,phase,activity,kind,name,owner,start,end,progress
1-1,大項目1：調査・研究,中項目1：実態調査,task,調査設計・倫理手続き,PM,2026-06-01,2026-06-30,1
1-2,大項目1：調査・研究,中項目1：実態調査,task,アンケート調査の実施・回収,調査チーム,2026-07-01,2026-09-30,0.6
1-3,大項目1：調査・研究,中項目1：実態調査,task,データ分析・論文執筆,研究チーム,2026-10-01,2027-01-31,0.1
2-1,大項目1：調査・研究,中項目2：評価研究,task,評価手法の選定・機器整備,研究チーム,2026-06-15,2026-08-31,0.8
2-2,大項目1：調査・研究,中項目2：評価研究,task,評価の実施（対象者フォロー）,研究チーム,2026-09-01,2027-02-28,0.2
3-1,大項目2：教育・研修,中項目3：教材整備,task,テキスト・ガイドラインの改訂,教育チーム,2026-07-01,2026-10-31,0.4
3-2,大項目2：教育・研修,中項目3：教材整備,task,講義動画・VR教材の制作,教育チーム,2026-08-01,2026-12-28,0.2
4-1,大項目2：教育・研修,中項目4：セミナー開催,task,セミナー企画・講師調整,事務局,2026-08-01,2026-09-30,0.5
4-2,大項目2：教育・研修,中項目4：セミナー開催,task,地域別セミナーの開催（4拠点）,教育チーム,2026-10-01,2027-02-28,0
5-1,大項目3：普及・支援,中項目5：普及活動,task,ガイドブック更新・配布,事務局,2026-07-01,2026-11-30,0.3
5-2,大項目3：普及・支援,中項目5：普及活動,task,連携先セミナー・個別訪問サポート,支援チーム,2026-08-01,2027-03-15,0.1
0-1,大項目4：事業運営,,task,全体プロジェクトマネジメント・進捗管理,PM,2026-06-01,2027-03-31,0.3
M1,,,milestone,中間報告,事務局,2026-11-30,2026-11-30,
M2,,,milestone,最終報告・成果公開,事務局,2027-03-31,2027-03-31,
